# coding: utf-8
# 小鹤音形“全码字”词库
# 此分类相当于win版启用oqm，即已经有简码的字，全码首选让给别的字词，本身居后显示
# 
# 编码格式：字词+Tab符+编码（用户词库本身有重码则还需后面+Tab符+权重，权重大者居前，权重数字随意）
#
#    -------- 强调一下 --------
# 
#   词条和编码之间的不是空格，而是Tab符
#   按住键盘 G 键，切换到功能键盘，使用上面的Tab键
# 
#    -------------------------------
# 
# 此分类文件名为“flypy_full.txt”，部署后生效
# 例：quts 1.趋同  2.去
# 如无候选2则表示没有生效
# no comment

玤	bhwf
缈	mnsu
珢	ybwg
没	mwdy
媸	iini
擎	qkcu
仙	xmre
以	yivr
太	tddd
烬	jbhd
轰	hsiy
什	uiru
帕	pajb
氯	lvqu
滦	lrdm
礓	jlua
忏	ijxq
孵	fulz
佴	erre
援	yrfy
担	djfa
沉	ifdj
纸	visu
克	keue
搋	ikfj
厨	iuic
蝉	ijil
畖	watg
嶅	aofe
𩽾	anan
挨	aifu
唉	aiku
哀	aiwy
案	anbm
铵	anjn
埯	antd
岙	aoye
畚	bfst
𠳐	bhke
栟	bfmk
襞	biuy
邶	bwle
煸	bmhc
萆	bicu
舭	bivb
芘	bicb
沘	bidb
诐	biyy
𨚕	bmse
苾	bicb
咇	bikb
笔	bivm
骉	bnmm
埗	butp
浡	bodz
琲	bwwf
棓	bwmk
皕	bibb
鲌	baab
攽	bjbw
鞁	bwgy
蔀	buce
幖	bnjx
馝	bihb
𨭉	bjwj
半	bjdl
爸	babb
把	bafb
丙	bkan
报	bcfy
拔	bafd
吧	bakb
耙	balb
粑	bamb
滨	bbdb
瀑	bcdu
爆	bchu
暴	bcou
褓	bcpm
豹	bcvu
拜	bduf
笨	bfvb
蚌	bhif
棒	bhml
傍	bhrf
比	bibb
毙	bibb
庇	bigb
闭	bimc
璧	biuy
碧	biwu
避	bizu
搬	bjfy
瓣	bjlu
板	bjmy
般	bjvy
班	bjww
并	bkbk
冰	bkdu
柄	bkmb
饼	bkuk
鞭	bmgg
扁	bmhc
辨	bmlu
辩	bmlu
编	bmsc
遍	bmzc
标	bnmx
博	bouc
捕	buff
哺	bukf
瓿	bulw
卜	buld
布	buuj
补	bupb
埠	butu
狈	bwqr
碑	bwuu
悖	bwxz
部	bule
鸨	bcbn
镔	bbjb
龅	bcvs
趵	bczu
稗	bdhu
佰	bdrb
磅	bhuf
必	bidd
秕	bihb
俾	biru
愎	bixw
跸	bizu
坂	bjty
槟	bkmb
褊	bmpc
砭	bmuf
笾	bmvz
忭	bmxb
镖	bnjx
婊	bnny
铂	bojb
钚	bujb
呗	bwkr
杯	bwmb
褙	bwpo
鹎	bwpn
孛	bouz
孛	bwuz
铋	bijb
阪	bjey
箔	bovb
犇	bfnn
熜	cshx
䅟	cjhp
粢	cidm
次	cidr
词	ciyk
材	cdmc
苍	chcv
仓	chrv
祠	cipk
辞	ciqu
残	cjdj
蚕	cjti
卒	cuwu
翠	cvxu
漕	ccdo
灿	cjhe
惨	cjxp
搓	cofg
镩	crji
锉	cojt
汆	crru
匆	csbd
琮	cswx
蔟	cucu
萃	cvcu
毳	cvmm
璀	cvwf
蹾	dyzw
汈	dndd
杕	dimd
饳	doui
斗	dzdu
垯	datz
阇	dumo
渡	dudy
鱽	dcad
筜	dhve
禘	dipj
𨱏	dajk
䗖	diij
的	dibu
的	debu
读	duyd
瘩	dabk
达	dazd
盗	dcdm
稻	dchj
悼	dcxu
道	dczz
带	ddfj
敦	dvww
代	ddry
澄	dgda
等	dgvc
宕	dhbu
党	dhxe
档	dhme
殿	dmuy
涤	didm
底	digd
缔	disj
帝	diwj
单	djbl
淡	djdh
弹	djgl
蛋	djvi
诞	djyz
顶	dkdr
订	dkyd
惦	dmxk
钓	dnju
刁	dnva
夺	dodc
朵	dojm
驮	domd
多	doxx
迭	dpzu
端	drle
断	drmj
栋	dsmd
度	dugy
都	dule
妒	dunh
牍	dupd
独	duqi
钝	dyjt
吨	dykt
敦	dyww
抖	dzfu
都	dzle
胆	djoa
膻	djoa
鞑	dagz
妲	dana
褡	dapk
鿎	dauz
氘	dcql
殆	dddk
谠	dhye
氐	diud
谛	diyj
啖	djkh
澹	djdk
箪	djvl
惮	djxl
簟	dmvu
凋	dndk
牒	dppm
煅	drhy
咚	dskd
垌	dstk
黩	duhd
蠹	duai
怼	dvyx
哒	dakz
羝	diyd
玓	diwu
𬱖	diyr
垛	dotm
𬭊	dujt
咡	erke
姶	eenk
崿	eeek
𥔲	eeuk
愕	eexk
耳	eraa
贰	eryr
厄	eeiv
嗯	enkx
偾	ffrr
芙	fucf
氾	fjdv
㕮	fukx
砆	fuuf
垺	futz
蚄	fhif
浲	fgdf
𣸣	ffdr
𫔍	fjjt
法	fads
阀	famg
分	ffbd
吩	ffkd
粉	ffmd
芬	ffcd
冯	fgdm
奉	fgfl
蜂	fgif
放	fhfw
妨	fhnf
肪	fhof
仿	fhrf
访	fhyf
烦	fjhr
凡	fjjd
贩	fjky
翻	fjpx
矾	fjuf
副	fuad
凫	fupj
斐	fwfw
废	fwgd
夫	fuan
富	fubt
扶	fuff
馥	fuhw
府	fugc
敷	fufw
辅	fuif
脯	fuof
祓	fupd
付	furc
俯	furc
弗	fuvl
驸	fumc
匪	fwkf
榧	fwmf
妃	fwnj
诽	fwyf
纷	ffsd
赋	fukv
汾	ffdd
玢	ffwd
彷	fhif
枋	fhmf
舫	fhvf
钒	fjjf
樊	fjmd
梵	fjmf
蜉	fuiz
讣	fuyb
跗	fuzc
痱	fwbf
唪	fgkl
𬸪	fjpn
榖	guuy
硌	geuk
铬	gejk
贯	grgr
馃	goug
牿	gunk
嘏	guuy
䢼	gsce
姽	gvnv
珖	glww
唝	gskr
蓇	gucg
馉	guug
廆	gvgg
筦	grve
雊	gzbf
㽏	gjdg
镐	gcjk
羔	gcyh
盖	gdym
歌	gedr
格	gemk
阁	gemk
缸	ghfg
杆	gjmg
肝	gjog
虢	gopj
赶	gjtg
敢	gjvw
锅	gojn
过	gozc
官	grbk
罐	grff
棺	grmk
贡	gsgr
汞	gsgu
躬	gsug
谷	gubk
沽	gudk
